subject,block,number,response,error,rt,condition,correct,congruency,size,task,congsize,decade,unit,sizeunit,decadeDistance,unitDistance,distance
1,1,69,a       ,E       ,1282,decade,0,incongruent,large decade digits,parity,both digits have the same size,6,9,large unit digits,1,4,14
1,1,18,l       ,E       ,581,decade,0,incongruent,small decade digits,parity,digits have different size,1,8,large unit digits,4,3,37
1,1,29,a       ,E       ,721,decade,0,incongruent,small decade digits,parity,digits have different size,2,9,large unit digits,3,4,26
1,1,98,l       ,E       ,560,decade,0,incongruent,large decade digits,parity,both digits have the same size,9,8,large unit digits,4,3,43
1,1,99,a       ,C       ,500,decade,1,congruent,large decade digits,parity,both digits have the same size,9,9,large unit digits,4,4,44
1,1,66,l       ,C       ,1572,decade,1,congruent,large decade digits,parity,both digits have the same size,6,6,large unit digits,1,1,11
1,1,46,l       ,C       ,460,decade,1,congruent,small decade digits,parity,digits have different size,4,6,large unit digits,1,1,9
1,1,79,a       ,C       ,731,decade,1,congruent,large decade digits,parity,both digits have the same size,7,9,large unit digits,2,4,24
1,1,88,l       ,C       ,1222,decade,1,congruent,large decade digits,parity,both digits have the same size,8,8,large unit digits,3,3,33
1,1,73,a       ,C       ,621,decade,1,congruent,large decade digits,parity,digits have different size,7,3,small unit digits,2,2,18
1,1,77,a       ,C       ,771,decade,1,congruent,large decade digits,parity,both digits have the same size,7,7,large unit digits,2,2,22
1,1,91,a       ,C       ,491,decade,1,congruent,large decade digits,parity,digits have different size,9,1,small unit digits,4,4,36
1,1,27,a       ,E       ,471,decade,0,incongruent,small decade digits,parity,digits have different size,2,7,large unit digits,3,2,28
1,1,81,a       ,E       ,470,decade,0,incongruent,large decade digits,parity,digits have different size,8,1,small unit digits,3,4,26
1,1,82,l       ,C       ,731,decade,1,congruent,large decade digits,parity,digits have different size,8,2,small unit digits,3,3,27
1,1,89,a       ,E       ,581,decade,0,incongruent,large decade digits,parity,both digits have the same size,8,9,large unit digits,3,4,34
1,1,97,a       ,C       ,431,decade,1,congruent,large decade digits,parity,both digits have the same size,9,7,large unit digits,4,2,42
1,1,22,l       ,C       ,681,decade,1,congruent,small decade digits,parity,both digits have the same size,2,2,small unit digits,3,3,33
1,1,94,l       ,E       ,441,decade,0,incongruent,large decade digits,parity,digits have different size,9,4,small unit digits,4,1,39
1,1,62,l       ,C       ,791,decade,1,congruent,large decade digits,parity,digits have different size,6,2,small unit digits,1,3,7
1,1,12,l       ,E       ,470,decade,0,incongruent,small decade digits,parity,both digits have the same size,1,2,small unit digits,4,3,43
1,1,71,a       ,C       ,561,decade,1,congruent,large decade digits,parity,digits have different size,7,1,small unit digits,2,4,16
1,1,14,l       ,E       ,631,decade,0,incongruent,small decade digits,parity,both digits have the same size,1,4,small unit digits,4,1,41
1,1,48,l       ,C       ,1062,decade,1,congruent,small decade digits,parity,digits have different size,4,8,large unit digits,1,3,7
1,1,96,l       ,E       ,531,decade,0,incongruent,large decade digits,parity,both digits have the same size,9,6,large unit digits,4,1,41
1,1,26,l       ,C       ,510,decade,1,congruent,small decade digits,parity,digits have different size,2,6,large unit digits,3,1,29
1,1,32,l       ,E       ,520,decade,0,incongruent,small decade digits,parity,both digits have the same size,3,2,small unit digits,2,3,23
1,1,38,l       ,E       ,451,decade,0,incongruent,small decade digits,parity,digits have different size,3,8,large unit digits,2,3,17
1,1,68,l       ,C       ,361,decade,1,congruent,large decade digits,parity,both digits have the same size,6,8,large unit digits,1,3,13
1,1,28,l       ,C       ,361,decade,1,congruent,small decade digits,parity,digits have different size,2,8,large unit digits,3,3,27
1,1,92,l       ,E       ,421,decade,0,incongruent,large decade digits,parity,digits have different size,9,2,small unit digits,4,3,37
1,1,86,l       ,C       ,431,decade,1,congruent,large decade digits,parity,both digits have the same size,8,6,large unit digits,3,1,31
1,1,42,l       ,C       ,421,decade,1,congruent,small decade digits,parity,both digits have the same size,4,2,small unit digits,1,3,13
1,1,23,a       ,E       ,581,decade,0,incongruent,small decade digits,parity,both digits have the same size,2,3,small unit digits,3,2,32
1,1,83,a       ,E       ,371,decade,0,incongruent,large decade digits,parity,digits have different size,8,3,small unit digits,3,2,28
1,1,93,a       ,C       ,341,decade,1,congruent,large decade digits,parity,digits have different size,9,3,small unit digits,4,2,38
1,1,41,a       ,E       ,491,decade,0,incongruent,small decade digits,parity,both digits have the same size,4,1,small unit digits,1,4,14
1,1,49,a       ,E       ,421,decade,0,incongruent,small decade digits,parity,digits have different size,4,9,large unit digits,1,4,6
1,1,64,l       ,C       ,711,decade,1,congruent,large decade digits,parity,digits have different size,6,4,small unit digits,1,1,9
1,1,34,l       ,E       ,350,decade,0,incongruent,small decade digits,parity,both digits have the same size,3,4,small unit digits,2,1,21
1,1,84,l       ,C       ,340,decade,1,congruent,large decade digits,parity,digits have different size,8,4,small unit digits,3,1,29
1,1,16,l       ,E       ,501,decade,0,incongruent,small decade digits,parity,digits have different size,1,6,large unit digits,4,1,39
1,1,19,a       ,C       ,491,decade,1,congruent,small decade digits,parity,digits have different size,1,9,large unit digits,4,4,36
1,1,36,l       ,E       ,651,decade,0,incongruent,small decade digits,parity,digits have different size,3,6,large unit digits,2,1,19
1,1,63,a       ,E       ,540,decade,0,incongruent,large decade digits,parity,digits have different size,6,3,small unit digits,1,2,8
1,1,33,l       ,E       ,561,decade,0,congruent,small decade digits,parity,both digits have the same size,3,3,small unit digits,2,2,22
1,1,78,l       ,E       ,771,decade,0,incongruent,large decade digits,parity,both digits have the same size,7,8,large unit digits,2,3,23
1,1,47,l       ,C       ,4666,decade,1,incongruent,small decade digits,parity,digits have different size,4,7,large unit digits,1,2,8
1,1,61,l       ,C       ,751,decade,1,incongruent,large decade digits,parity,digits have different size,6,1,small unit digits,1,4,6
1,1,39,a       ,C       ,751,decade,1,congruent,small decade digits,parity,digits have different size,3,9,large unit digits,2,4,16
1,1,67,l       ,C       ,921,decade,1,incongruent,large decade digits,parity,both digits have the same size,6,7,large unit digits,1,2,12
1,1,31,a       ,C       ,941,decade,1,congruent,small decade digits,parity,both digits have the same size,3,1,small unit digits,2,4,24
1,1,43,l       ,C       ,761,decade,1,incongruent,small decade digits,parity,both digits have the same size,4,3,small unit digits,1,2,12
1,1,13,a       ,C       ,971,decade,1,congruent,small decade digits,parity,both digits have the same size,1,3,small unit digits,4,2,42
1,1,37,a       ,C       ,791,decade,1,congruent,small decade digits,parity,digits have different size,3,7,large unit digits,2,2,18
1,1,87,l       ,C       ,631,decade,1,incongruent,large decade digits,parity,both digits have the same size,8,7,large unit digits,3,2,32
